speaker	lang	ltype	ave_ttr	se	nmessages
Paulfromitaly	Italian	L1	0.7387096774193548	0.012363445272419461	62
Angel.Aura	Italian	L1	0.7771428571428572	0.01206341173419692	14
francisgranada	Hungarian	L2	0.7456966490299827	0.0031998337479409696	567
Passante	italian	L1	0.7152631578947368	0.009087796711527141	57
bearded	Italian	L2	0.754885057471264	0.003295809784816116	348
TheCrociato91	Italian - Northern Italy	L2	0.7225	0.011494477625060473	36
Necsus	Italian (Italy)	L2	0.7688507718696387	0.0027060999520453146	583
giginho	Italiano & Piemontese	L1	0.7348598130841124	0.0073520971496810255	107
ohbice	italiano	L1	0.7284615384615388	0.007120756706880881	104
xeneize	Italian	L2	0.7257055214723928	0.005101387660644663	163
sabrinita85	Italian	L2	0.7460937500000001	0.009192650369100944	64
SunDraw	Veneto (Italia)	L1	0.7846785714285721	0.004012861860336782	280
zipp404	Bilingual English|Español	L1	0.7425868725868727	0.0033086596877964095	518
MünchnerFax	Italian, Italy	L1	0.7772340425531911	0.007487355703563809	94
irene.acler	Italiano	L2	0.7384000000000001	0.0100776981498753	25
stella_maris_74	Italian - Italy	L1	0.7623456790123457	0.007117340164458443	81
vega3131	Italian	L2	0.7555555555555556	0.020419973277210113	9
annapo	Italian	L2	0.7338759689922482	0.0057999913098865895	129
Giorgino	Italian	L1	0.7539583333333333	0.008430670447610766	48
moodywop	Italian - Italy	L1	0.7780000000000002	0.009498341297034866	35
Saoul	Italian	L1	0.7658064516129035	0.006538938355122953	62
dragonseven	italiano	L1	0.7546014492753619	0.0033846455896464137	552
infinite sadness	italiano	L2	0.7335	0.008034780165486316	40
olaszinho	Central Italian	L2	0.7708888888888888	0.008988332629402972	45
Stiannu	Italy, Italian	L2	0.7733333333333337	0.01354592423912313	21
la italianilla	Italia	L2	0.7709677419354837	0.005468383430816594	124
panzona	Italian	L1	0.7600000000000002	0.011681318503081892	29
Anja.Ann	Italian	L1	0.7599107142857139	0.006668872948607581	112
Nino83	Italian	L2	0.7091194968553457	0.0073994513315482485	159
Sempervirens	italiano	L1	0.7830735930735937	0.003660024480848365	231
Palmiro Premoli	Italiano	L1	0.7433333333333335	0.0348010216963685	3
tie-break	Italy	L2	0.7455999999999999	0.01255760062007601	25
facciadipietra	Italian (northern, southern and central background)	L1	0.7614583333333335	0.008695955606632865	48
VogaVenessian	Italiano	L1	0.758478260869565	0.008884483522918995	46
Connie Eyeland	Italiano	L1	0.755234657039711	0.003769488412700205	277
rocamadour	Italian	L2	0.7906382978723406	0.008348360363034024	47
Hermocrates	Italian & British English (bilingual)	L1	0.7495689655172413	0.005991488517335485	116
matoupaschat	Français (Belgique)	L1	0.7836708860759494	0.006149646367420826	79
saltapicchio	Italia (Roma) - Italiano	L1	0.7594871794871796	0.012468306476416134	39
rainbowizard	Italian - Italy	L1	0.7368421052631579	0.017472662550277664	19
ursu-lab	italian, catalan & spanish	L1	0.7359375000000001	0.004952939818767676	224
Agró	Spanish-Navarre	L1	0.7238914027149324	0.004078248916623294	221
itka	français	L1	0.7266375545851532	0.003559839831228497	458
daniele712	Italia	L1	0.7392307692307695	0.011846320345150263	52
Kraus	Italian, Italy	L2	0.76	0.014500221041639692	13
pedro_trionix	Spanish and Galician	L1	0.6933333333333334	0.04333333333333335	3
frugnaglio	Italian	L2	0.7512765957446809	0.008797322259301703	47
violadaprile	italian	L1	0.7547499999999997	0.00479998822234736	200
giusyna	italian	L1	0.7799999999999999	0.012182817926554552	20
Astropolyp	Italian - Tuscany	L1	0.744736842105263	0.02082183431499984	19
dôghen	italiano	L1	0.7745454545454544	0.008221750662773735	55
Alemanita	German, Germany	L2	0.7246808510638298	0.010273102678945356	47
quasi.stellar	italiano - italiano	L1	0.7524390243902441	0.0050524919701884	123
Silvia10975	italiano (Toscana-Italia)	L2	0.7360000000000001	0.015070206073943092	10
